,Gene names,BCC Intensity 12_1L,BCC Intensity 12_3L,BCC Intensity 12_5L,BCC Intensity 27_1L,BCC Intensity 27_3L,BCC Intensity 27_5L,BCC Intensity 39_1L,BCC Intensity 39_3L,BCC Intensity 39_5L,BCC Intensity 89_1L,BCC Intensity 89_3L,BCC Intensity 89_5L,BCC Intensity 72_3L,BCC Intensity 103_1L,BCC Intensity 103_3L,BCC Intensity 103_5L,BCC Intensity 107_3L,BCC Intensity 111_3L,BCC Intensity 49_3L,BCC Intensity 105_3L,BCC Intensity 16_3L,BCC Intensity 99_1L,BCC Intensity 99_3L,BCC Intensity 99_5L,BCC Intensity 109_3L,BCC Intensity 73_1L,BCC Intensity 73_3L,BCC Intensity 73_5L,BCC Intensity 92_1L,BCC Intensity 92_3L,BCC Intensity 92_5L,BCC Intensity 54_1L,BCC Intensity 54_3L,BCC Intensity 54_5L,BCC Intensity 104_1L,BCC Intensity 104_3L,BCC Intensity 104_5L,SCC Intensity 21_1L,SCC Intensity 21_3L,SCC Intensity 21_5L,SCC Intensity 31_1L,SCC Intensity 31_3L,SCC Intensity 31_5L,SCC Intensity 32_1L,SCC Intensity 32_3L,SCC Intensity 32_5L,SCC Intensity 90_1L,SCC Intensity 90_3L,SCC Intensity 90_5L,SCC Intensity 59_3L,SCC Intensity 88_3L,SCC Intensity 110_3L,SCC Intensity 45_3L,SCC Intensity 60_3L,SCC Intensity 95_3L,SCC Intensity 101_3L,SCC&BCC Intensity 25_1L,SCC&BCC Intensity 25_3L,SCC&BCC Intensity 25_5L,keratosis Intensity 33_1L,keratosis Intensity 33_3L,keratosis Intensity 33_5L
2149,RMDN1,139470000,67758000,74706000,24970000,70951000,0,31710000,40271000,36675000,61144000,28561000,45123000,51973000,80436000,48765000,85867000,15749000,2923500,6208100,32468000,9889900,3261900,35262000,3195900,18744000,40746000,46087000,32030000,33661000,13509000,29708000,3461600,0,15071000,5624400,30760000,21047000,40773000,56425000,133880000,15050000,26425000,11828000,28001000,30464000,16290000,19854000,125820000,23335000,12125000,690730,0,3806400,20158000,12163000,0,10910000,80639000,46957000,15207000,40944000,20624000
2150,DAZAP1,518280000,864610000,336860000,196900000,131410000,151580000,75375000,100100000,113840000,154140000,478860000,136400000,98111000,140770000,185100000,146510000,185700000,48873000,146480000,191970000,96659000,114930000,357770000,165810000,121430000,432950000,568670000,435020000,178470000,447360000,327860000,5665000,46740000,80725000,43027000,211750000,118940000,135250000,228830000,219000000,109660000,110330000,81910000,101680000,207510000,70608000,141120000,413590000,52516000,67991000,23177000,27614000,19663000,95308000,71374000,0,320380000,470130000,211820000,92482000,210740000,86642000
2151,DDRGK1,413750000,170700000,274110000,94821000,43624000,10119000,30197000,21827000,61306000,64940000,215920000,67951000,131930000,103130000,59217000,106530000,71690000,5226300,105410000,105860000,51086000,34679000,103310000,17072000,95066000,60863000,102860000,94716000,62675000,31838000,10165000,4279400,4971300,13746000,13102000,18179000,30505000,102390000,169460000,151030000,86385000,50105000,122580000,83199000,53149000,48476000,72382000,275160000,35824000,17340000,0,30283000,12729000,31278000,13069000,2151100,349420000,423410000,76555000,41405000,124680000,41820000
2152,ZFR,66171000,109470000,14509000,52159000,25308000,126020000,0,4693300,15140000,0,153740000,0,12184000,16253000,0,3880100,27726000,44364000,17094000,33830000,26032000,7530700,91551000,42651000,30910000,18873000,49894000,50903000,21394000,104000000,93031000,0,0,17547000,17094000,48716000,14156000,0,0,14142000,0,3884900,3395300,3939500,9484300,0,0,43089000,0,28418000,0,37832000,0,16663000,5095200,0,77734000,88356000,0,2652900,13552000,0
2153,PIGS,125860000,5822300,94455000,50651000,19559000,0,15501000,19771000,32109000,1399600,34556000,0,2642800,2895300,0,5048500,3891300,2481900,6488100,2940400,1128600,379650,5478600,3094000,2352100,26215000,54562000,65209000,8698800,45532000,50937000,0,4824000,0,0,8605200,1512200,33294000,66688000,68395000,11664000,10279000,26353000,15487000,4127800,5493300,0,26031000,0,820300,0,1424900,556790,1131300,0,0,73635000,84978000,35937000,18409000,19611000,0
2154,NAPG,120590000,183990000,60056000,21966000,7281300,0,18776000,14612000,21453000,19418000,19631000,23016000,7588700,19280000,19895000,27140000,5075900,6796100,6809300,17893000,4771600,5126000,21869000,1811100,7047000,25246000,82652000,22917000,15019000,43583000,40151000,4377500,0,10652000,3345100,0,6476700,87812000,54928000,74825000,41328000,5562800,6717900,39462000,56789000,19556000,8869400,18797000,7883700,8064600,2975700,6287800,4294000,10762000,1824400,1881300,23090000,42337000,45708000,1803900,39674000,2950400
2155,APOL2,54575000,0,0,0,3293600,0,18185000,41384000,14926000,16691000,67420000,0,50991000,44516000,95191000,60876000,1882200,0,47850000,32243000,0,0,4175500,0,28162000,22240000,4504100,13229000,32213000,24078000,13556000,0,3296700,0,0,5206400,3926000,109490000,34303000,51555000,83190000,165820000,65882000,24986000,85653000,58075000,23348000,72599000,0,24753000,475900,0,3539200,18290000,0,0,0,4985900,7492500,3940600,203930000,44652000
2156,PYM1,369190000,492400000,366170000,69990000,28895000,8097100,68565000,15917000,46580000,158330000,141850000,89520000,75016000,182730000,110750000,91560000,77433000,17307000,112430000,99107000,70341000,51873000,125150000,49478000,99089000,92578000,94413000,75931000,77444000,100910000,77847000,12165000,0,48594000,36637000,86340000,56695000,144260000,153870000,189340000,138400000,111000000,72004000,116950000,105330000,34816000,171820000,165320000,118480000,52715000,22023000,4091900,16900000,61408000,56523000,0,178160000,225870000,145940000,37285000,115520000,133160000
2157,CNPY3,71129000,98494000,47349000,28576000,27556000,125450000,17614000,63526000,12790000,25053000,83065000,19580000,204410000,0,57614000,3385300,35269000,13919000,49635000,76038000,30912000,24704000,70965000,33169000,99663000,34471000,104280000,52403000,34640000,83454000,35943000,20466000,0,21558000,8059500,8839900,42428000,59572000,54267000,24622000,31274000,7254500,7383600,15807000,34881000,7444600,36054000,85443000,6691300,25097000,2604500,15462000,3218600,32494000,5263600,0,51387000,90605000,35944000,12333000,39611000,19548000
2158,GSDMC,262220000,33977000,86341000,0,0,10866000,11132000,0,12146000,22560000,0,10408000,0,11909000,12144000,19001000,1861500,1691100,0,2465600,0,18633000,13835000,13143000,3201200,4872100,0,0,0,0,0,0,0,5042000,0,6352700,5312000,99770000,39380000,110440000,16567000,16984000,5891900,64632000,95178000,66061000,20461000,53814000,8494100,662750,6617200,0,1413000,3953100,10878000,18504000,0,23856000,77611000,17432000,15949000,14965000
